sample,strategy,strategy_price_type,return_basis,round_trip_ticks,nobs,trade_count,trade_rate,avg_daily,avg_ann,avg_ann_pct,vol_ann,vol_ann_pct,sharpe,success_rate,max_drawdown,avg_trade_return,avg_trade_return_bp,t_stat_mean,p_value_mean,symbol
replication,timing_rROD,paper_statistical,r_LH,2,2424,2424,1.0,-8.288067841050458e-05,-0.0208859309594471,-2.088593095944715,0.0478245087989631,4.782450879896317,-0.4367202399766197,0.4430693069306931,-0.3449171118981795,-8.288067841050458e-05,-0.8288067841050458,-1.3544698969577191,0.1757127998621697,ES.v.0
replication,always_long,paper_statistical,r_LH,2,2424,2424,1.0,-0.000286956186206,-0.0723129589239272,-7.231295892392725,0.0478696068460852,4.786960684608522,-1.51062362296884,0.448019801980198,-0.5362617544851075,-0.000286956186206,-2.869561862060605,-4.68513715566295,2.952511362064314e-06,ES.v.0
replication,timing_rONFH,paper_statistical,r_LH,3,2424,2424,1.0,-0.0003341604969128,-0.0842084452220351,-8.420844522203515,0.0479221235889481,4.792212358894819,-1.7571935238999994,0.396039603960396,-0.6247908600535748,-0.0003341604969128,-3.3416049691283787,-5.44986358172688,5.5503785345578656e-08,ES.v.0
replication,timing_agree_ONFH_ROD,paper_statistical,r_LH,3,2424,1805,0.7446369636963697,-0.0001792488982711,-0.0451707223643252,-4.517072236432529,0.0418158200458829,4.181582004588299,-1.0802304561948344,0.297029702970297,-0.4592614186411036,-0.0001792488982711,-1.792488982711321,-3.350290416517306,0.000819642294692,ES.v.0
replication,timing_rROD,paper_statistical,r_LH,3,2424,2424,1.0,-0.0002181151684088,-0.0549650224390325,-5.496502243903257,0.0478550228734175,4.785502287341756,-1.1485737366466595,0.4092409240924092,-0.5190913147246046,-0.0002181151684088,-2.181151684088594,-3.562254295352626,0.0003747766341792,ES.v.0
replication,always_long,paper_statistical,r_LH,3,2424,2424,1.0,-0.0004221906762044,-0.1063920504035126,-10.639205040351266,0.0478766667035424,4.787666670354244,-2.2222108958065916,0.4129537953795379,-0.6622233288180781,-0.0004221906762044,-4.221906762044153,-6.892095871770481,6.98485713712671e-12,ES.v.0
replication,timing_rONFH,executable_next_open,r_LH_executable,0,2424,2424,1.0,7.234796657486682e-05,0.0182316875768664,1.823168757686644,0.047898098033224,4.789809803322407,0.3806348962796017,0.4847359735973597,-0.1200251623537979,7.234796657486682e-05,0.7234796657486682,1.1805235057801424,0.2379079415017144,ES.v.0
replication,timing_agree_ONFH_ROD,executable_next_open,r_LH_executable,0,2424,1805,0.7446369636963697,0.0001221885944673,0.0307915258057809,3.079152580578096,0.0417786644022197,4.177866440221978,0.7370155615636422,0.3667491749174917,-0.0839678778459955,0.0001221885944673,1.2218859446738477,2.28582350976173,0.0223505592690274,ES.v.0
replication,timing_rROD,executable_next_open,r_LH_executable,0,2424,2424,1.0,0.0001870072129678,0.0471258176678869,4.712581766788694,0.0478197747810239,4.781977478102394,0.9854880723233274,0.4971122112211221,-0.0692410168624764,0.0001870072129678,1.8700721296780536,3.0564508021068573,0.0022641803103902,ES.v.0
replication,always_long,executable_next_open,r_LH_executable,0,2424,2424,1.0,-1.7691073333998488e-05,-0.0044581504801676,-0.4458150480167619,0.0479110474012347,4.791104740123476,-0.0930505743869987,0.5,-0.1772809723120102,-1.7691073333998488e-05,-0.1769107333399849,-0.2885925367428864,0.7729178931381742,ES.v.0
replication,timing_rONFH,executable_next_open,r_LH_executable,1,2424,2424,1.0,-6.288633288013663e-05,-0.0158473558857944,-1.5847355885794432,0.0479048361484762,4.790483614847622,-0.3308091032119836,0.466996699669967,-0.2817220056497332,-6.288633288013663e-05,-0.6288633288013663,-1.0259908539256133,0.3049983092140653,ES.v.0
replication,timing_agree_ONFH_ROD,executable_next_open,r_LH_executable,1,2424,1805,0.7446369636963697,2.1776942044253643e-05,0.0054877893951519,0.5487789395151919,0.0417729688031671,4.177296880316718,0.1313717830544962,0.3523102310231023,-0.1458791176341274,2.1776942044253643e-05,0.2177694204425364,0.4074441923426803,0.6837177683167561,ES.v.0
replication,timing_rROD,executable_next_open,r_LH_executable,1,2424,2424,1.0,5.1772913512801874e-05,0.013046774205226,1.3046774205226073,0.0478312171208178,4.783121712081786,0.2727669290177366,0.4773102310231023,-0.1403387869496587,5.1772913512801874e-05,0.5177291351280188,0.8459754332886114,0.397649985059354,ES.v.0
replication,always_long,executable_next_open,r_LH_executable,1,2424,2424,1.0,-0.000152925372789,-0.0385371939428284,-3.853719394282849,0.0478992575155276,4.789925751552769,-0.804546791363848,0.481023102310231,-0.3677134819587934,-0.000152925372789,-1.5292537278900191,-2.4952688468356654,0.012652235842175,ES.v.0
replication,timing_rONFH,executable_next_open,r_LH_executable,2,2424,2424,1.0,-0.0001981206323351,-0.0499263993484552,-4.9926399348455295,0.0479210608657958,4.792106086579583,-1.0418467046936934,0.4306930693069307,-0.4801479575875789,-0.0001981206323351,-1.9812063233514008,-3.231244786886345,0.0012490364616406,ES.v.0
replication,timing_agree_ONFH_ROD,executable_next_open,r_LH_executable,2,2424,1805,0.7446369636963697,-7.863471037887747e-05,-0.0198159470154771,-1.9815947015477124,0.0417961748395169,4.179617483951692,-0.4741091042796048,0.3242574257425742,-0.3122271634907909,-7.863471037887747e-05,-0.7863471037887747,-1.4704299247836368,0.1415751917945269,ES.v.0
replication,timing_rROD,executable_next_open,r_LH_executable,2,2424,2424,1.0,-8.346138594220154e-05,-0.0210322692574347,-2.1032269257434786,0.0478521579376388,4.7852157937638875,-0.4395260352698018,0.4418316831683168,-0.3458072184659729,-8.346138594220154e-05,-0.8346138594220154,-1.3631719558818585,0.1729549775637158,ES.v.0
replication,always_long,executable_next_open,r_LH_executable,2,2424,2424,1.0,-0.000288159672244,-0.0726162374054893,-7.261623740548935,0.0478969570523353,4.789695705233532,-1.5160929185155572,0.4467821782178218,-0.5372061984590966,-0.000288159672244,-2.8815967224400536,-4.7020999512869635,2.7194955058984505e-06,ES.v.0
